time,v(n0),v(n1),v(n2),v(n3),v(n4),v(n5),v(n6),v(n7),v(n8),v(n9)
4.33897084e-05,3.14318732e-01,3.14318898e-01,3.14318817e-01,3.14318899e-01,3.14318970e-01,3.14318899e-01,3.14318735e-01,3.14318735e-01,3.14318779e-01,3.14318779e-01
4.33997084e-05,3.14318731e-01,3.14318899e-01,3.14318817e-01,3.14318899e-01,3.14318969e-01,3.14318899e-01,3.14318735e-01,3.14318735e-01,3.14318779e-01,3.14318778e-01
4.34097084e-05,3.14318732e-01,3.14318899e-01,3.14318817e-01,3.14318899e-01,3.14318969e-01,3.14318899e-01,3.14318735e-01,3.14318735e-01,3.14318779e-01,3.14318779e-01
4.34197084e-05,3.14318731e-01,3.14318899e-01,3.14318817e-01,3.14318899e-01,3.14318970e-01,3.14318899e-01,3.14318735e-01,3.14318735e-01,3.14318778e-01,3.14318779e-01
4.34297084e-05,3.14318730e-01,3.14318899e-01,3.14318817e-01,3.14318898e-01,3.14318970e-01,3.14318898e-01,3.14318735e-01,3.14318735e-01,3.14318778e-01,3.14318779e-01
4.34397084e-05,3.14318730e-01,3.14318899e-01,3.14318817e-01,3.14318899e-01,3.14318970e-01,3.14318899e-01,3.14318735e-01,3.14318735e-01,3.14318779e-01,3.14318779e-01
4.34497084e-05,3.14318731e-01,3.14318899e-01,3.14318817e-01,3.14318899e-01,3.14318970e-01,3.14318899e-01,3.14318735e-01,3.14318735e-01,3.14318779e-01,3.14318779e-01
4.34597084e-05,3.14318731e-01,3.14318899e-01,3.14318817e-01,3.14318899e-01,3.14318970e-01,3.14318899e-01,3.14318736e-01,3.14318735e-01,3.14318779e-01,3.14318779e-01
4.34697084e-05,3.14318732e-01,3.14318898e-01,3.14318817e-01,3.14318899e-01,3.14318970e-01,3.14318899e-01,3.14318735e-01,3.14318735e-01,3.14318779e-01,3.14318780e-01
4.34797084e-05,3.14318733e-01,3.14318899e-01,3.14318817e-01,3.14318899e-01,3.14318970e-01,3.14318899e-01,3.14318735e-01,3.14318735e-01,3.14318779e-01,3.14318779e-01
4.34897084e-05,3.14318732e-01,3.14318899e-01,3.14318817e-01,3.14318898e-01,3.14318970e-01,3.14318899e-01,3.14318734e-01,3.14318735e-01,3.14318779e-01,3.14318779e-01
4.34997084e-05,3.14318731e-01,3.14318900e-01,3.14318817e-01,3.14318898e-01,3.14318970e-01,3.14318899e-01,3.14318734e-01,3.14318735e-01,3.14318778e-01,3.14318779e-01
4.35097084e-05,3.14318731e-01,3.14318899e-01,3.14318817e-01,3.14318898e-01,3.14318969e-01,3.14318899e-01,3.14318734e-01,3.14318735e-01,3.14318778e-01,3.14318779e-01
4.35197084e-05,3.14318732e-01,3.14318899e-01,3.14318817e-01,3.14318898e-01,3.14318970e-01,3.14318899e-01,3.14318734e-01,3.14318734e-01,3.14318779e-01,3.14318779e-01
4.35272192e-05,3.14318733e-01,3.14318899e-01,3.14318817e-01,3.14318898e-01,3.14318970e-01,3.14318899e-01,3.14318734e-01,3.14318735e-01,3.14318780e-01,3.14318780e-01
4.35342108e-05,3.14318735e-01,3.14318898e-01,3.14318818e-01,3.14318898e-01,3.14318970e-01,3.14318899e-01,3.14318735e-01,3.14318735e-01,3.14318779e-01,3.14318780e-01
4.35410815e-05,3.14318736e-01,3.14318898e-01,3.14318817e-01,3.14318897e-01,3.14318969e-01,3.14318898e-01,3.14318735e-01,3.14318735e-01,3.14318779e-01,3.14318779e-01
4.35472847e-05,3.14318735e-01,3.14318897e-01,3.14318818e-01,3.14318896e-01,3.14318968e-01,3.14318897e-01,3.14318734e-01,3.14318734e-01,3.14318779e-01,3.14318779e-01
