v(vpre),time
3.52179088e-01,2.40815000e-06
3.52183051e-01,2.40825000e-06
3.52184229e-01,2.40835000e-06
3.52188239e-01,2.40845000e-06
3.52189464e-01,2.40855000e-06
3.52193520e-01,2.40865000e-06
3.52194791e-01,2.40875000e-06
3.52198894e-01,2.40885000e-06
3.52200213e-01,2.40895000e-06
3.52204363e-01,2.40905000e-06
3.52205729e-01,2.40915000e-06
3.52209926e-01,2.40925000e-06
3.52211340e-01,2.40935000e-06
3.52215585e-01,2.40945000e-06
3.52217047e-01,2.40955000e-06
3.52221340e-01,2.40965000e-06
3.52222850e-01,2.40975000e-06
3.52227192e-01,2.40985000e-06
3.52228751e-01,2.40995000e-06
3.52233141e-01,2.41005000e-06
